STT,lop,gioitinh,hocluc,thaido,B.1.1,B1.2,B1.3,B1.4,B1.5,B2.1,B2.2,B2.3,B2.4,B3.1,B3.2,B3.3,C1.1.1,C1.1.2,C1.1.3,C1.1.4,C1.2.1,C1.2.2,C1.2.3,C1.2.4,C1.3.1,C1.3.2,C1.3.3,C1.3.4,C1.4.1,C1.4.2,C1.4.3,C1.4.4,C1.5.1,C1.5.2,C1.5.3,C1.5.4,C2.1.1,C2.1.2,C2.1.3,C2.1.4,C2.2.1,C2.2.2,C2.2.3,C2.2.4,C2.3.1,C2.3.2,C2.3.3,C2.3.4,C3.1.1,C3.1.2,C3.1.3,C3.1.4,C3.2.1,C3.2.2,C3.2.3,C3.2.4,C3.3.1,C3.3.2,C3.3.3,C3.3.4,C3.4.1,C3.4.2,C3.4.3,C3.4.4,C3.5.1,C3.5.2,C3.5.3,C3.5.4,C3.6.1,C3.6.2,C3.6.3,C3.6.4,C1,C2,C3
101,1,1,3,1,3,4,3,3,3,3,3,3,4,3,3,3,4,4,4,4,2,2,3,2,3,3,3,4,4,4,5,5,4,4,4,4,2,3,3,2,3,4,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,3,3,3,1,1,2,3,3.6,2.83333333333333,2.91666666666667
102,1,1,3,1,3,3,2,3,3,3,4,3,3,3,3,4,3,4,4,4,3,4,1,3,3,2,2,4,5,5,5,5,3,2,2,2,3,3,2,3,4,4,4,3,3,3,4,3,3,3,3,4,4,3,2,4,4,4,4,4,4,4,4,3,2,2,1,3,3,3,3,3,3.3,3.25,3.20833333333333
103,1,2,3,1,3,3,2,3,4,3,3,3,2,2,2,2,2,3,1,2,2,2,2,2,3,3,3,3,4,4,4,4,2,1,2,2,4,3,4,4,4,3,4,4,3,3,3,3,2,2,2,1,2,2,1,1,4,4,4,4,4,4,4,4,3,4,3,3,4,5,4,4,2.55,3.5,3.125
104,1,2,4,1,3,3,4,4,4,3,4,3,3,2,2,3,2,2,2,2,2,2,3,1,5,5,5,5,3,2,3,3,2,2,2,3,4,4,4,4,2,2,3,2,4,4,4,5,2,2,3,3,2,2,1,1,4,5,5,5,4,4,4,2,4,3,5,5,1,3,5,2,2.8,3.5,3.20833333333333
105,1,1,2,1,3,3,4,3,4,3,3,3,4,3,3,3,1,2,2,3,3,2,3,2,3,2,3,2,3,3,3,1,2,3,2,3,5,4,5,5,2,3,3,3,3,4,3,2,3,2,2,1,2,2,2,2,4,3,3,3,4,4,4,2,3,3,3,3,3,3,4,4,2.4,3.5,2.875
106,1,2,3,1,3,4,4,4,3,4,3,4,3,4,3,3,2,2,2,1,1,1,3,1,2,2,3,2,2,3,2,3,2,2,2,2,2,4,4,4,2,3,2,3,3,3,4,2,3,3,2,2,2,3,2,2,3,3,3,3,4,4,4,3,4,3,4,3,4,4,4,4,2,3,3.16666666666667
107,1,2,4,2,4,4,4,3,3,3,4,3,3,3,3,3,3,4,3,3,2,1,2,1,2,2,3,2,2,4,2,1,4,4,4,4,2,2,3,4,3,4,3,3,3,4,4,5,3,3,3,3,3,3,3,2,3,4,4,3,4,4,4,4,3,3,3,4,2,2,2,2,2.65,3.33333333333333,3.08333333333333
108,1,1,3,1,4,3,3,2,3,3,3,4,4,3,3,3,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,1,1,1,1,3,4,3,4,2,3,3,3,4,3,4,4,3,2,2,3,2,3,1,2,4,4,4,4,3,3,3,3,3,3,3,3,5,1,5,5,2.35,3.33333333333333,3.08333333333333
109,1,1,3,3,4,3,3,3,3,2,2,2,3,3,3,3,2,2,2,2,2,3,2,2,3,3,4,3,4,2,2,2,2,3,2,3,2,2,2,3,4,4,4,4,2,3,2,3,3,2,3,5,2,3,4,2,4,3,4,3,3,4,4,4,3,3,3,3,4,4,3,5,2.5,2.91666666666667,3.375
110,1,2,4,1,4,3,3,4,3,2,2,2,4,3,3,3,2,2,2,2,2,1,2,2,3,3,3,3,2,2,2,2,3,3,3,3,2,2,3,3,2,3,3,2,4,4,4,4,3,3,3,4,2,2,1,2,3,4,3,4,4,4,4,4,3,3,3,3,4,4,3,3,2.35,3,3.16666666666667
111,1,1,2,2,3,4,5,4,5,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,3,3,4,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,2,3,3,3,3,4,1,3,3,2,4,4,4,4,4,4,4,3,4,3,4,5,2,2,2,2,2.65,3.66666666666667,3.20833333333333
112,1,2,2,2,3,4,5,4,5,3,4,4,3,3,3,3,2,2,2,2,2,2,3,2,2,3,3,3,4,5,5,5,2,2,3,2,4,4,4,4,5,2,5,5,4,4,3,3,2,3,3,3,3,2,1,4,3,4,3,4,3,3,3,3,2,2,2,3,3,3,2,2,2.8,3.91666666666667,2.75
113,1,1,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,4,3,3,1,3,3,2,3,2,2,2,2,4,3,2,3,2,2,3,3,3,2,2,3,2,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,2,2.7,2.58333333333333,3.08333333333333
114,1,2,3,3,3,3,3,5,5,3,3,3,3,3,3,3,4,3,4,4,2,1,2,2,3,3,3,3,2,2,3,2,2,2,2,3,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,5,3,4,4,2,2.6,2.66666666666667,3.20833333333333
115,1,1,3,1,4,3,2,2,3,2,2,3,3,3,3,3,3,3,2,3,2,2,3,2,3,2,2,3,3,3,2,3,3,2,2,3,2,2,3,2,2,3,3,3,4,3,3,3,2,3,3,3,3,3,1,3,3,3,3,3,4,4,3,4,4,4,4,4,3,4,4,5,2.55,2.75,3.33333333333333
116,1,2,3,2,3,3,5,5,4,3,3,3,3,3,3,3,2,2,3,3,3,2,2,2,3,4,3,4,2,2,2,2,2,3,2,2,4,4,4,4,2,4,4,4,4,3,3,3,4,4,4,4,2,2,1,2,4,4,3,4,4,4,3,4,3,4,3,4,4,5,4,4,2.5,3.58333333333333,3.5
117,1,2,3,1,3,3,5,3,4,2,2,3,3,2,2,3,3,3,3,3,3,4,2,2,2,2,3,3,3,2,3,2,2,3,2,2,3,3,4,3,2,2,3,3,4,4,3,4,3,3,3,2,3,2,2,2,4,5,4,5,3,3,3,3,3,4,3,4,5,4,5,4,2.6,3.16666666666667,3.41666666666667
118,1,2,3,2,3,5,5,5,3,3,3,3,2,4,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,5,3,5,2,2,2,2,5,3,5,5,3,3,3,4,3,3,3,3,3,3,3,2,1,3,1,2,4,3,4,4,4,4,4,4,3,3,3,3,4,5,3,5,2.55,3.58333333333333,3.25
119,1,2,3,2,5,5,5,3,3,2,3,3,2,2,2,3,3,3,3,3,2,2,2,3,4,4,3,4,2,2,2,4,2,2,3,2,3,3,3,3,3,4,2,2,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,2,2,4,3,4,2.75,2.91666666666667,3.33333333333333
120,1,2,3,1,4,3,3,4,4,2,3,3,4,3,3,3,1,2,2,3,2,2,2,2,3,3,4,3,3,3,3,2,2,2,2,2,3,2,3,3,4,3,2,2,3,3,3,3,2,2,1,2,2,1,1,1,4,3,4,4,3,4,4,3,4,4,4,4,2,4,5,4,2.4,2.83333333333333,3
121,1,2,3,1,2,3,3,4,3,2,2,4,3,3,3,3,2,1,2,1,3,2,2,2,4,4,4,4,2,2,2,2,2,2,3,2,3,3,3,2,4,4,4,4,3,4,4,4,3,3,3,3,1,1,2,1,3,3,2,3,4,4,3,4,3,3,3,3,4,5,2,4,2.4,3.5,2.91666666666667
122,1,1,3,2,4,3,3,5,5,2,2,2,3,2,2,3,3,3,3,2,2,2,3,2,3,3,3,3,2,3,2,1,2,4,4,4,3,3,3,3,3,4,4,4,2,3,3,3,3,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,2.7,3.16666666666667,3.5
123,1,2,3,3,3,4,5,4,5,3,3,4,4,4,4,4,1,2,2,3,2,3,2,2,3,2,3,3,2,2,2,4,2,2,2,2,3,3,5,3,4,3,4,4,3,3,4,2,2,3,3,2,2,2,3,3,4,4,4,4,3,3,3,4,4,4,4,4,2,4,2,2,2.3,3.41666666666667,3.125
124,2,1,2,2,3,2,5,4,5,4,4,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,4,3,4,3,4,3,3,2,2,2,4,3,4,4,2,3,3,3,4,4,3,4,2,2,1,1,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,2.9,3.41666666666667,3.04166666666667
125,2,2,4,1,3,3,4,4,5,2,3,3,3,2,2,2,2,2,2,2,2,1,2,2,4,3,4,3,2,3,3,2,2,2,2,2,3,3,3,4,3,2,3,2,3,3,3,3,3,2,2,2,1,2,3,2,3,4,4,3,4,4,4,4,4,3,3,4,4,5,5,5,2.35,2.91666666666667,3.33333333333333
126,2,2,4,2,3,3,4,3,5,4,2,2,3,2,2,2,3,2,2,3,2,1,2,1,3,4,3,3,3,3,3,3,3,2,3,3,3,3,4,4,2,3,2,3,4,4,4,4,3,3,4,4,2,2,3,2,4,4,3,3,4,4,4,4,3,3,3,3,4,5,3,5,2.6,3.33333333333333,3.41666666666667
127,2,1,3,2,4,5,3,3,5,2,5,2,3,5,3,5,2,2,1,2,2,2,3,3,3,2,2,3,4,4,4,4,2,2,2,3,4,3,3,3,2,3,3,3,3,3,4,3,4,4,4,4,3,2,2,2,4,4,4,4,3,3,3,5,3,3,3,3,3,3,3,3,2.6,3.08333333333333,3.29166666666667
128,2,2,4,2,5,4,4,5,4,3,3,3,3,4,4,2,2,1,2,2,4,2,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,3,3,2,2,2,3,2,4,4,4,4,4,4,4,3,2,2,2,2,4,4,4,4,3,4,4,4,4,3,4,3,5,5,4,3,3.25,3,3.54166666666667
